,pcode,usercount,week_weekend_ratio,userdaycount_mean,userdaycount_median,tripcount_mean,tripcount_median,tripcount_sum
0,00100,2251,2.4737022119553225,2.4737022119553225,1.2,48.4233673922701,31.0,109001
1,00120,724,3.0953635741544723,3.0953635741544723,1.2,47.26657458563536,29.0,34221
2,00130,178,2.9605426416490257,2.9605426416490257,1.354765291607397,37.449438202247194,21.0,6666
3,00140,795,2.5876657046929306,2.5876657046929306,1.2,43.77106918238994,27.0,34798
4,00150,1080,2.8355411197455362,2.8355411197455362,1.2,48.90277777777778,29.0,52815
5,00160,356,2.7906231028294184,2.7906231028294184,1.1313725490196078,50.08988764044944,30.0,17832
6,00170,721,2.808887817104314,2.808887817104314,1.2,47.940360610263525,26.0,34565
7,00180,1663,2.782435357387213,2.782435357387213,1.16,50.35838845460012,34.0,83746
8,00190,41,4.392670855450502,4.392670855450502,2.0,34.68292682926829,22.0,1422
9,00200,1365,2.602762881408132,2.602762881408132,1.1111111111111112,35.35164835164835,21.0,48255
10,00210,672,2.7814379381409977,2.7814379381409977,1.2,32.95238095238095,18.0,22144
11,00220,587,2.6828356360508248,2.6828356360508248,1.1529411764705884,50.781942078364565,32.0,29809
12,00230,1,1.9,1.9,1.9,46.0,46.0,46
13,00240,440,2.2873778997789525,2.2873778997789525,1.2,48.263636363636365,31.0,21236
14,00250,1428,2.4881880437984183,2.4881880437984183,1.2,49.2093837535014,33.0,70271
15,00260,602,3.362726427085996,3.362726427085996,1.2615384615384615,50.82392026578073,33.5,30596
16,00270,811,2.5352294329448086,2.5352294329448086,1.1333333333333333,42.737361282367445,28.0,34660
17,00280,323,2.258442090426659,2.258442090426659,1.2,50.13312693498452,28.0,16193
18,00290,7,0.9409802895517181,0.9409802895517181,0.96,51.857142857142854,31.0,363
19,00300,436,2.8938890174016407,2.8938890174016407,1.1076581576026636,44.46559633027523,28.0,19387
20,00310,32,2.8290676310166445,2.8290676310166445,1.05,23.1875,14.0,742
21,00320,421,3.956506181027397,3.956506181027397,1.4666666666666668,26.133016627078383,16.0,11002
22,00330,681,3.7498047267088213,3.7498047267088213,1.28,36.40234948604993,22.0,24790
23,00340,50,4.323207868447343,4.323207868447343,1.5257142857142858,25.28,12.5,1264
24,00350,647,3.1765797157329194,3.1765797157329194,1.15,38.87326120556414,23.0,25151
25,00360,44,3.3600452577725304,3.3600452577725304,1.2999999999999998,24.136363636363637,8.5,1062
26,00370,90,6.085256065610372,6.085256065610372,1.7,27.7,15.5,2493
27,00380,93,3.9881805147000393,3.9881805147000393,2.0,19.602150537634408,13.0,1823
28,00390,62,6.562073832770302,6.562073832770302,2.3,22.43548387096774,14.0,1391
